year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2020,Hawaii,15,"Honolulu County, HI",15003,Asian,Not Hispanic or Latino,4330.0,397745.0,1088.6,456.5
2020,Hawaii,15,"Honolulu County, HI",15003,Asian,Not Stated,53.0,Not Applicable,Not Applicable,Not Applicable
2020,Hawaii,15,"Honolulu County, HI",15003,Black or African American,Not Hispanic or Latino,85.0,24332.0,349.3,666.2
2020,Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,614.0,89607.0,685.2,652.9
2020,Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Stated,18.0,Not Applicable,Not Applicable,Not Applicable
2020,Hawaii,15,"Honolulu County, HI",15003,White,Hispanic or Latino,151.0,35492.0,425.4,842.5
2020,Hawaii,15,"Honolulu County, HI",15003,White,Not Hispanic or Latino,1394.0,169501.0,822.4,610.7
2020,Hawaii,15,"Honolulu County, HI",15003,White,Not Stated,67.0,Not Applicable,Not Applicable,Not Applicable
2020,Hawaii,15,"Honolulu County, HI",15003,More than one race,Hispanic or Latino,251.0,40134.0,625.4,1507.3
2020,Hawaii,15,"Honolulu County, HI",15003,More than one race,Not Hispanic or Latino,1347.0,182769.0,737.0,877.8
2020,Hawaii,15,"Kauai County, HI",15007,Asian,Not Hispanic or Latino,231.0,20857.0,1107.5,435.1
2020,Hawaii,15,"Kauai County, HI",15007,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,28.0,6109.0,458.3,409.2
2020,Hawaii,15,"Kauai County, HI",15007,White,Hispanic or Latino,18.0,2595.0,Unreliable,Unreliable
2020,Hawaii,15,"Kauai County, HI",15007,White,Not Hispanic or Latino,201.0,20915.0,961.0,551.9
2020,Hawaii,15,"Kauai County, HI",15007,More than one race,Hispanic or Latino,22.0,3842.0,572.6,8745.7
2020,Hawaii,15,"Kauai County, HI",15007,More than one race,Not Hispanic or Latino,79.0,15032.0,525.5,709.4
2020,Hawaii,15,"Maui County, HI",15009,Asian,Not Hispanic or Latino,394.0,46349.0,850.1,425.7
2020,Hawaii,15,"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,80.0,16404.0,487.7,479.5
2020,Hawaii,15,"Maui County, HI",15009,White,Hispanic or Latino,41.0,7996.0,512.8,661.1
2020,Hawaii,15,"Maui County, HI",15009,White,Not Hispanic or Latino,437.0,49962.0,874.7,508.4
2020,Hawaii,15,"Maui County, HI",15009,More than one race,Hispanic or Latino,45.0,7908.0,569.0,8785.8
2020,Hawaii,15,"Maui County, HI",15009,More than one race,Not Hispanic or Latino,217.0,33594.0,645.9,922.2
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,Asian,Not Hispanic or Latino,494.0,40086.0,1232.4,470.1
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,Black or African American,Not Hispanic or Latino,17.0,1381.0,Unreliable,Unreliable
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,157.0,24195.0,648.9,614.4
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,White,Hispanic or Latino,79.0,7964.0,992.0,1006.6
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,White,Not Hispanic or Latino,772.0,60606.0,1273.8,660.6
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,White,Not Stated,10.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,More than one race,Hispanic or Latino,83.0,14183.0,585.2,10895.6
