"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","covid_deaths","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err","covid_deaths_2020","covid_excess_ratio"
"48CS020",2016,"TX","Cass+Marion+Morris",782,52612,767,52646,0,3,52.612,52.646,14.8635292328746,14.5690080917829,18,18,744.495671615839,14.1506818143359,676.975,816,12.8673116399301,15.509769634304,34.8524683566394,0.662443327694051,103,0.722794060675728
"48CS020",2017,"TX","Cass+Marion+Morris",805,52398,782,52612,0,3,52.398,52.612,15.3631818008321,14.8635292328746,19,19,748.472719080032,14.2843757219747,682.95,821,13.0338944234513,15.6685369670598,35.0079079297466,0.668115346573278,103,0.722794060675728
"48CS020",2018,"TX","Cass+Marion+Morris",705,52324,805,52398,0,3,52.324,52.398,13.4737405397141,15.3631818008321,20,20,752.182146254689,14.3754710315475,684,818.05,13.072395076829,15.6343169482455,34.2228508824517,0.654056472793587,103,0.722794060675728
"48CS020",2019,"TX","Cass+Marion+Morris",763,52268,705,52324,0,3,52.268,52.324,14.5978418917885,13.4737405397141,21,21,783.480582219599,14.9896797700237,714.975,853.025,13.6790196678656,16.3202150455346,36.0218204224404,0.689175411770881,103,0.722794060675728
"48CS020",2020,"TX","Cass+Marion+Morris",924,52288,763,52268,103,3,52.288,52.268,17.671358629131,14.5978418917885,22,22,781.497445532816,14.9460190776625,711.975,855,13.6164129436964,16.3517441860465,36.0200083287053,0.688877148269303,103,0.722794060675728
"48CS021",2011,"TX","Chambers+Liberty",935,111689,914,111315,0,2,111.689,111.315,8.37146003635094,8.21093293805866,13,13,972.041128488639,8.7031053057028,899.975,1044,8.05786603873255,9.34738425449239,37.6328981879688,0.33694363982101,135,4.0218207676326
"48CS021",2012,"TX","Chambers+Liberty",943,112878,935,111689,0,2,112.878,111.689,8.35415227059303,8.37146003635094,14,14,985.474465975144,8.73043875666776,914.975,1058.025,8.10587536986835,9.37317280603838,37.0127730570052,0.327900680885604,135,4.0218207676326
"48CS021",2013,"TX","Chambers+Liberty",1057,114216,943,112878,0,2,114.216,112.878,9.25439518106045,8.35415227059303,15,15,1002.93287710944,8.7810190963564,929.95,1082,8.14202913777404,9.473278700007,38.3559750211075,0.33581963140985,135,4.0218207676326
"48CS021",2014,"TX","Chambers+Liberty",1022,116341,1057,114216,0,2,116.341,114.216,8.78452136392158,9.25439518106045,16,16,1013.60429382055,8.71235672566466,934.975,1089.025,8.03650475756612,9.36062952871301,38.7674185849889,0.333222325620279,135,4.0218207676326
"48CS021",2015,"TX","Chambers+Liberty",1059,118565,1022,116341,0,2,118.565,116.341,8.93180955593978,8.78452136392158,17,17,1045.97190368268,8.82192808740085,973.975,1126.025,8.21469236283895,9.49711128916628,39.0458827017133,0.329320479919988,135,4.0218207676326
