year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2020,Connecticut,09,"Litchfield County, CT",09005,White,Not Hispanic or Latino,2134.0,156014.0,1367.8,796.8
2020,Connecticut,09,"Middlesex County, CT",09007,Black or African American,Not Hispanic or Latino,77.0,8128.0,947.3,890.6
2020,Connecticut,09,"Middlesex County, CT",09007,White,Hispanic or Latino,35.0,8826.0,396.6,613.4
2020,Connecticut,09,"Middlesex County, CT",09007,White,Not Hispanic or Latino,1675.0,133971.0,1250.3,710.6
2020,Connecticut,09,"New Haven County, CT",09009,Asian,Not Hispanic or Latino,98.0,36284.0,270.1,347.5
2020,Connecticut,09,"New Haven County, CT",09009,Black or African American,Hispanic or Latino,29.0,20617.0,140.7,273.8
2020,Connecticut,09,"New Haven County, CT",09009,Black or African American,Not Hispanic or Latino,1182.0,112473.0,1050.9,1111.3
2020,Connecticut,09,"New Haven County, CT",09009,White,Hispanic or Latino,705.0,134371.0,524.7,795.7
2020,Connecticut,09,"New Haven County, CT",09009,White,Not Hispanic or Latino,7671.0,518447.0,1479.6,811.5
2020,Connecticut,09,"New Haven County, CT",09009,White,Not Stated,21.0,Not Applicable,Not Applicable,Not Applicable
2020,Connecticut,09,"New London County, CT",09011,American Indian or Alaska Native,Not Hispanic or Latino,16.0,2127.0,Unreliable,Unreliable
2020,Connecticut,09,"New London County, CT",09011,Asian,Not Hispanic or Latino,40.0,10950.0,365.3,345.9
2020,Connecticut,09,"New London County, CT",09011,Black or African American,Not Hispanic or Latino,116.0,15070.0,769.7,867.6
2020,Connecticut,09,"New London County, CT",09011,White,Hispanic or Latino,106.0,22867.0,463.6,777.1
2020,Connecticut,09,"New London County, CT",09011,White,Not Hispanic or Latino,2489.0,197333.0,1261.3,776.2
2020,Connecticut,09,"Tolland County, CT",09013,Asian,Not Hispanic or Latino,14.0,7676.0,Unreliable,Unreliable
2020,Connecticut,09,"Tolland County, CT",09013,Black or African American,Not Hispanic or Latino,21.0,5300.0,396.2,672.5
2020,Connecticut,09,"Tolland County, CT",09013,White,Hispanic or Latino,20.0,7579.0,263.9,572.5
2020,Connecticut,09,"Tolland County, CT",09013,White,Not Hispanic or Latino,1148.0,125392.0,915.5,671.4
2020,Connecticut,09,"Windham County, CT",09015,Black or African American,Not Hispanic or Latino,12.0,2298.0,Unreliable,Unreliable
2020,Connecticut,09,"Windham County, CT",09015,White,Hispanic or Latino,59.0,11714.0,503.7,922.3
2020,Connecticut,09,"Windham County, CT",09015,White,Not Hispanic or Latino,1184.0,95207.0,1243.6,859.3
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,Asian,Not Hispanic or Latino,132.0,54537.0,242.0,293.2
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,Black or African American,Hispanic or Latino,20.0,18129.0,110.3,257.6
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,Black or African American,Not Hispanic or Latino,833.0,106380.0,783.0,774.6
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,White,Hispanic or Latino,662.0,165649.0,399.6,553.7
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,White,Not Hispanic or Latino,5727.0,568368.0,1007.6,585.1
2021 (provisional),Connecticut,09,"Fairfield County, CT",09001,White,Not Stated,15.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,Asian,Not Hispanic or Latino,143.0,53950.0,265.1,401.2
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,Black or African American,Hispanic or Latino,25.0,23408.0,106.8,163.6
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,Black or African American,Not Hispanic or Latino,1031.0,120525.0,855.4,869.9
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,White,Hispanic or Latino,841.0,132175.0,636.3,859.7
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,White,Not Hispanic or Latino,6740.0,526870.0,1279.3,708.0
2021 (provisional),Connecticut,09,"Hartford County, CT",09003,More than one race,Not Hispanic or Latino,16.0,16503.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Litchfield County, CT",09005,Asian,Not Hispanic or Latino,11.0,3800.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Litchfield County, CT",09005,Black or African American,Not Hispanic or Latino,27.0,3323.0,812.5,1015.1
2021 (provisional),Connecticut,09,"Litchfield County, CT",09005,White,Hispanic or Latino,34.0,10862.0,313.0,557.8
2021 (provisional),Connecticut,09,"Litchfield County, CT",09005,White,Not Hispanic or Latino,1959.0,156014.0,1255.7,729.1
2021 (provisional),Connecticut,09,"Middlesex County, CT",09007,Asian,Not Hispanic or Latino,11.0,5276.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Middlesex County, CT",09007,Black or African American,Not Hispanic or Latino,93.0,8128.0,1144.2,1162.9
2021 (provisional),Connecticut,09,"Middlesex County, CT",09007,White,Hispanic or Latino,42.0,8826.0,475.9,655.2
2021 (provisional),Connecticut,09,"Middlesex County, CT",09007,White,Not Hispanic or Latino,1537.0,133971.0,1147.3,650.5
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,Asian,Not Hispanic or Latino,102.0,36284.0,281.1,371.5
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,Black or African American,Hispanic or Latino,32.0,20617.0,155.2,310.0
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,Black or African American,Not Hispanic or Latino,1089.0,112473.0,968.2,1010.1
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,White,Hispanic or Latino,661.0,134371.0,491.9,733.4
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,White,Not Hispanic or Latino,6646.0,518447.0,1281.9,719.0
2021 (provisional),Connecticut,09,"New Haven County, CT",09009,White,Not Stated,11.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Connecticut,09,"New London County, CT",09011,American Indian or Alaska Native,Not Hispanic or Latino,16.0,2127.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"New London County, CT",09011,Asian,Not Hispanic or Latino,48.0,10950.0,438.4,413.6
2021 (provisional),Connecticut,09,"New London County, CT",09011,Black or African American,Not Hispanic or Latino,173.0,15070.0,1148.0,1246.4
2021 (provisional),Connecticut,09,"New London County, CT",09011,White,Hispanic or Latino,101.0,22867.0,441.7,798.3
2021 (provisional),Connecticut,09,"New London County, CT",09011,White,Not Hispanic or Latino,2591.0,197333.0,1313.0,807.7
2021 (provisional),Connecticut,09,"New London County, CT",09011,More than one race,Not Hispanic or Latino,10.0,8291.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Tolland County, CT",09013,Asian,Not Hispanic or Latino,16.0,7676.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Tolland County, CT",09013,Black or African American,Not Hispanic or Latino,28.0,5300.0,528.3,783.9
2021 (provisional),Connecticut,09,"Tolland County, CT",09013,White,Hispanic or Latino,17.0,7579.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Tolland County, CT",09013,White,Not Hispanic or Latino,1214.0,125392.0,968.2,701.4
2021 (provisional),Connecticut,09,"Windham County, CT",09015,Black or African American,Not Hispanic or Latino,12.0,2298.0,Unreliable,Unreliable
2021 (provisional),Connecticut,09,"Windham County, CT",09015,White,Hispanic or Latino,52.0,11714.0,443.9,714.3
2021 (provisional),Connecticut,09,"Windham County, CT",09015,White,Not Hispanic or Latino,1152.0,95207.0,1210.0,829.0
2022 (provisional and partial),Connecticut,09,"Fairfield County, CT",09001,Asian,Not Hispanic or Latino,16.0,54537.0,Unreliable,Unreliable
2022 (provisional and partial),Connecticut,09,"Fairfield County, CT",09001,Black or African American,Not Hispanic or Latino,142.0,106380.0,133.5,132.8
2022 (provisional and partial),Connecticut,09,"Fairfield County, CT",09001,White,Hispanic or Latino,103.0,165649.0,62.2,90.0
2022 (provisional and partial),Connecticut,09,"Fairfield County, CT",09001,White,Not Hispanic or Latino,803.0,568368.0,141.3,79.0
2022 (provisional and partial),Connecticut,09,"Hartford County, CT",09003,Asian,Not Hispanic or Latino,19.0,53950.0,Unreliable,Unreliable
2022 (provisional and partial),Connecticut,09,"Hartford County, CT",09003,Black or African American,Not Hispanic or Latino,151.0,120525.0,125.3,122.7
2022 (provisional and partial),Connecticut,09,"Hartford County, CT",09003,White,Hispanic or Latino,143.0,132175.0,108.2,151.2
2022 (provisional and partial),Connecticut,09,"Hartford County, CT",09003,White,Not Hispanic or Latino,990.0,526870.0,187.9,103.8
2022 (provisional and partial),Connecticut,09,"Litchfield County, CT",09005,White,Not Hispanic or Latino,263.0,156014.0,168.6,95.8
2022 (provisional and partial),Connecticut,09,"Middlesex County, CT",09007,Black or African American,Not Hispanic or Latino,11.0,8128.0,Unreliable,Unreliable
2022 (provisional and partial),Connecticut,09,"Middlesex County, CT",09007,White,Not Hispanic or Latino,219.0,133971.0,163.5,93.1
2022 (provisional and partial),Connecticut,09,"New Haven County, CT",09009,Black or African American,Not Hispanic or Latino,123.0,112473.0,109.4,119.4
2022 (provisional and partial),Connecticut,09,"New Haven County, CT",09009,White,Hispanic or Latino,109.0,134371.0,81.1,123.8
2022 (provisional and partial),Connecticut,09,"New Haven County, CT",09009,White,Not Hispanic or Latino,861.0,518447.0,166.1,93.1
2022 (provisional and partial),Connecticut,09,"New London County, CT",09011,Black or African American,Not Hispanic or Latino,16.0,15070.0,Unreliable,Unreliable
2022 (provisional and partial),Connecticut,09,"New London County, CT",09011,White,Hispanic or Latino,23.0,22867.0,100.6,157.5
2022 (provisional and partial),Connecticut,09,"New London County, CT",09011,White,Not Hispanic or Latino,375.0,197333.0,190.0,117.6
2022 (provisional and partial),Connecticut,09,"Tolland County, CT",09013,White,Not Hispanic or Latino,184.0,125392.0,146.7,104.3
2022 (provisional and partial),Connecticut,09,"Windham County, CT",09015,White,Hispanic or Latino,12.0,11714.0,Unreliable,Unreliable
2022 (provisional and partial),Connecticut,09,"Windham County, CT",09015,White,Not Hispanic or Latino,163.0,95207.0,171.2,118.5
